6SCC,0.1776724441
6SCL,0.0851593243
6SCOIL,0.0800041001
6SCT,0.0293083735
6SGC,0.2136263005
6SGOIL,0.0851892267
6SHG,0.2092548924
6SHO,0.1130710121
6SKC,0.1296490553
6SNG,0.0798649084
6SNN,0.0798649084
6SNP,0.0798649084
6SOJ,-0.0443143573
6SPA,0.2771775772
6SPL,0.2367601315
6SRB,0.1247323956
6SSB,0.1316341375
6SSI,0.1813121992
6SZC,0.0769900239
6SZL,0.0594913304
6SZN,0.0566820678
6SZS,0.0948641546
6SZW,0.1143329382
6SiNG,0.0798649084
CCCL,0.3558935406
CCCOIL,0.3221146542
CCCT,0.2135357227
CCGC,0.2377836355
CCGOIL,0.4347323260
CCHG,0.3255612024
CCHO,0.3322847788
CCKC,0.3280032849
CCNG,0.1736629406
CCNN,0.1736629406
CCNP,0.1736629406
CCOJ,0.1349262427
CCPA,0.3713997165
CCPL,0.3436311072
CCRB,0.3253713120
CCSB,0.1918620441
CCSI,0.3339952764
CCZC,0.1522757000
CCZL,0.2277135058
CCZN,-0.2600323862
CCZS,0.2380134886
CCZW,0.1533224735
CCiNG,0.1736629406
CLCL,0.9989212835
CLCOIL,0.8795027260
CLCT,0.2898660820
CLGC,0.2637444837
CLGOIL,0.6094103827
CLHG,0.5527974510
CLHO,0.8622741432
CLKC,0.3609682518
CLNG,0.1929432647
CLNN,0.1929432647
CLNP,0.1929432647
CLOJ,0.1554972848
CLPA,0.5684119005
CLPL,0.4520421014
CLRB,0.8786866294
CLSB,0.3798659657
CLSI,0.4799999358
CLZC,0.3769099503
CLZL,0.4934902224
CLZN,-0.4403367105
CLZS,0.4387271625
CLZW,0.4040974704
CLiNG,0.1929432647
COILCT,0.2875461004
COILGC,0.2739429719
COILGOIL,0.6606463044
COILHG,0.4877130402
COILHO,0.9581982044
COILKC,0.3568604442
COILNG,0.1510079311
COILNN,0.1510079311
COILNP,0.1510079311
COILOJ,0.1276197042
COILPA,0.5274635564
COILPL,0.4681674953
COILRB,0.9602561227
COILSB,0.3641494090
COILSI,0.4667178977
COILZC,0.3852507474
COILZL,0.5296859628
COILZN,-0.4070488008
COILZS,0.4596837299
COILZW,0.4207885299
COILiNG,0.1510079311
CTGC,0.1124493483
CTGOIL,0.3207560274
CTHG,0.1896203985
CTHO,0.2716586342
CTKC,0.1622075959
CTNG,0.1564258145
CTNN,0.1564258145
CTNP,0.1564258145
CTOJ,-0.0350168922
CTPA,0.2877749550
CTPL,0.2379542312
CTRB,0.2889235002
CTSB,0.2768800441
CTSI,0.2034917644
CTZC,0.3758273287
CTZL,0.4373133194
CTZN,-0.1553696203
CTZS,0.3911885510
CTZW,0.4058590070
CTiNG,0.1564258145
GCGOIL,0.2616309560
GCHG,0.3718095235
GCHO,0.2647108138
GCKC,0.1949162211
GCNG,0.0262289843
GCNN,0.0262289843
GCNP,0.0262289843
GCOJ,0.0546905000
GCPA,0.5323464903
GCPL,0.7773076716
GCRB,0.2843646875
GCSB,0.0848729759
GCSI,0.7757794599
GCZC,0.2279460906
GCZL,0.2874166122
GCZN,0.0761775162
GCZS,0.2878232885
GCZW,0.1976756832
GCiNG,0.0262289843
GOILHG,0.5012456183
GOILHO,0.6723428324
GOILKC,0.3454802086
GOILNG,0.1494837226
GOILNN,0.1494837226
GOILNP,0.1494837226
GOILOJ,0.1828939744
GOILPA,0.5293077463
GOILPL,0.4483001726
GOILRB,0.6274741006
GOILSB,0.2359831605
GOILSI,0.4193000900
GOILZC,0.2021522378
GOILZL,0.3921967015
GOILZN,-0.3388811682
GOILZS,0.3016222173
GOILZW,0.2519794460
GOILiNG,0.1494837226
HGHG,0.9999836906
HGHO,0.4668516485
HGKC,0.4020896926
HGNG,0.0838548059
HGNN,0.0838548059
HGNP,0.0838548059
HGOJ,0.2153435267
HGPA,0.6810348133
HGPL,0.5772557993
HGRB,0.4703642474
HGSB,0.3276937590
HGSI,0.5093539459
HGZC,0.2196317695
HGZL,0.4174580779
HGZN,-0.3786463117
HGZS,0.3964756359
HGZW,0.2708786705
HGiNG,0.0838548059
HOKC,0.3467486984
HONG,0.1562318200
HONN,0.1562318200
HONP,0.1562318200
HOOJ,0.1122316074
HOPA,0.4856752337
HOPL,0.4471448324
HORB,0.9508313689
HOSB,0.3580173487
HOSI,0.4463824722
HOZC,0.3442578060
HOZL,0.5195764926
HOZN,-0.3625588548
HOZS,0.4427692408
HOZW,0.3768998682
HOiNG,0.1562318200
KCNG,0.1363271158
KCNN,0.1363271158
KCNP,0.1363271158
KCOJ,0.0915471441
KCPA,0.4059032978
KCPL,0.3197427933
KCRB,0.3786190582
KCSB,0.2766401707
KCSI,0.2883448886
KCZC,0.2476427309
KCZL,0.2602257540
KCZN,-0.2320785870
KCZS,0.2864657556
KCZW,0.2185157337
KCiNG,0.1363271158
NGNN,1.0
NGNP,1.0
NGOJ,0.0286555977
NGPA,0.1337300138
NGPL,0.0960079210
NGRB,0.1406987247
NGSB,0.1167701332
NGSI,0.1055923644
NGZC,0.0990221243
NGZL,0.0708083029
NGZN,-0.0303951644
NGZS,0.0782205199
NGZW,0.1102469345
NGiNG,1.0
NNNP,1.0
NNOJ,0.0286555977
NNPA,0.1337300138
NNPL,0.0960079210
NNRB,0.1406987247
NNSB,0.1167701332
NNSI,0.1055923644
NNZC,0.0990221243
NNZL,0.0708083029
NNZN,-0.0303951644
NNZS,0.0782205199
NNZW,0.1102469345
NNiNG,1.0
NPOJ,0.0286555977
NPPA,0.1337300138
NPPL,0.0960079210
NPRB,0.1406987247
NPSB,0.1167701332
NPSI,0.1055923644
NPZC,0.0990221243
NPZL,0.0708083029
NPZN,-0.0303951644
NPZS,0.0782205199
NPZW,0.1102469345
NPiNG,1.0
OJPA,0.1634922497
OJPL,0.1707641243
OJRB,0.1319014326
OJSB,0.1483429872
